DBH,H,AGB
15.6,14.54,
14.8,14.15,68.33
16.7,15.4,103.81
18.1,15.24,121.71
22.5,17.96,195.87
6.9,9.45,11.65
9.7,12.1,27.44
10.2,12.05,34.7
11.6,13.05,54.58
14.1,14.25,70.87
7.8,9.75,15.59
8.3,10,18.87
9.3,10.65,24.6
10,10.93,31.98
11.3,11.45,37.42
15,13.4,79.68
16.5,14.73,110.33
15.5,14.08,86.24
18.2,15.4,118.2
21.2,15.9,165.26
13.4,13.3,52.97
16.8,15.65,87.88
15.7,15.1,95.19
19.4,14.7,97.67
19.3,16.95,130.52
6.9,7.6,11.58
8,6.95,13.36
8.6,9.02,20.79
10.7,11.1,35.57
12,9.65,47.77
21.5,19.8,205.68
23.5,21.93,260.03
27.8,23.4,334.19
28.1,22.88,404.7
30.5,25.65,500.29
8,10,13.77
9.4,11.7,29.42
12.7,12.52,53.78
11.4,13.38,44.14
14.3,11.68,69.44
19.4,18.15,146.32
19,18.95,144.7
22.1,18.6,215.37
22,19.73,216.54
26.5,20.35,389.76
9.4,13.6,32.49
10,13.95,23.67
12.5,14.95,48.26
11.9,15.8,47.89
13.5,15.95,73.89
6.7,10.6,9.7
8.5,12.5,22.34
10.7,12.65,37.57
9.5,12.3,26.45
10.7,12.7,41.62
7.8,12.65,21
10.1,13.8,38.39
10.2,13.6,35.23
12,13.15,47.08
13.1,14.07,55.47
14.7,16.82,97.13
17.7,16.5,117.16
20.5,18.86,166.62
19.5,19.3,152.58
18.2,18.35,133.07
15.7,18.76,101.84
18.9,20.81,163.64
19.3,18.65,140.15
22.6,20.35,214.16
25.1,21.2,270.15
19.4,20.85,168.16
22.2,21.02,248.35
25.5,21.35,329.81
28,22.55,424.67
31.5,24.32,461.51
8.4,13.82,20.49
10.2,11.8,33.37
12,15.7,55.86
11.5,14.83,44.23
13.4,14.22,58.28
14,16.1,80.12
14.3,16.5,72.38
16.4,18.1,115.56
17.6,17.98,138.97
21.3,17.93,218.7
15.6,15.9,89.48
18.5,14.49,99.68
19.4,16.78,154.87
21.6,18,187.48
26.4,18.8,227.9
